"wave_id","city","parity_layer","source_name","source_url","source_type","city_specific","provenance_status","authentication_status","replay_status","saturation_status","eligible_for_lock","notes"
"20260511_202305","Denver","city_boundary","Profile GIS","https://www.denvergov.org/opendata/","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Denver","neighborhoods_or_districts","Profile GIS","https://www.denvergov.org/opendata/","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Denver","council_districts","Profile council","https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Denver-City-Council","official_city_governance","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Denver","police_beats_or_reporting_districts","Profile police","https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Police-Department","official_public_safety","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Denver","fire_stations_or_service_areas","Profile fire","https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Fire-Department","official_public_safety","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Denver","parcels_or_zoning","Profile permits","https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Community-Planning-and-Development","official_planning_permits","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Denver","streets_or_transport_corridors","Profile public works","https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Department-of-Transportation-and-Infrastructure","official_public_works","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Denver","public_facilities","Profile GIS","https://www.denvergov.org/opendata/","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Denver","parks","Profile parks","https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Parks-Recreation","official_parks","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Denver","schools","Profile schools","https://www.dpsk12.org/","official_school_district","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Denver","public_safety_incidents_or_calls","Profile open data","https://www.denvergov.org/opendata/","official_open_data","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Denver","permits_or_code_enforcement","Profile permits","https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Community-Planning-and-Development","official_planning_permits","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Denver","civic_governance","Profile council","https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Denver-City-Council","official_city_governance","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Denver","public_works_or_infrastructure","Profile public works","https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Department-of-Transportation-and-Infrastructure","official_public_works","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Colorado Springs","city_boundary","Profile GIS","https://gis.coloradosprings.gov/","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Colorado Springs","neighborhoods_or_districts","Profile GIS","https://gis.coloradosprings.gov/","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Colorado Springs","council_districts","Profile council","https://coloradosprings.gov/city-council","official_city_governance","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Colorado Springs","police_beats_or_reporting_districts","Profile police","https://coloradosprings.gov/police-department","official_public_safety","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Colorado Springs","fire_stations_or_service_areas","Profile fire","https://coloradosprings.gov/fire-department","official_public_safety","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Colorado Springs","parcels_or_zoning","Profile permits","https://coloradosprings.gov/planning-and-development","official_planning_permits","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Colorado Springs","streets_or_transport_corridors","Profile public works","https://coloradosprings.gov/public-works","official_public_works","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Colorado Springs","public_facilities","Profile GIS","https://gis.coloradosprings.gov/","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Colorado Springs","parks","Profile parks","https://coloradosprings.gov/parks","official_parks","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Colorado Springs","schools","Profile schools","https://www.d11.org/","official_school_district","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Colorado Springs","public_safety_incidents_or_calls","Profile open data","https://coloradosprings.gov/","official_open_data","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Colorado Springs","permits_or_code_enforcement","Profile permits","https://coloradosprings.gov/planning-and-development","official_planning_permits","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Colorado Springs","civic_governance","Profile council","https://coloradosprings.gov/city-council","official_city_governance","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Colorado Springs","public_works_or_infrastructure","Profile public works","https://coloradosprings.gov/public-works","official_public_works","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Aurora","city_boundary","Profile GIS","https://gis.auroragov.org/","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Aurora","neighborhoods_or_districts","Profile GIS","https://gis.auroragov.org/","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Aurora","council_districts","Profile council","https://www.auroragov.org/city_hall/mayor___city_council","official_city_governance","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Aurora","police_beats_or_reporting_districts","Profile police","https://www.auroragov.org/residents/public_safety/police","official_public_safety","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Aurora","fire_stations_or_service_areas","Profile fire","https://www.auroragov.org/residents/public_safety/fire_rescue","official_public_safety","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Aurora","parcels_or_zoning","Profile permits","https://www.auroragov.org/business_services/development_center","official_planning_permits","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Aurora","streets_or_transport_corridors","Profile public works","https://www.auroragov.org/cms/one.aspx?pageId=16224673","official_public_works","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Aurora","public_facilities","Profile GIS","https://gis.auroragov.org/","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Aurora","parks","Profile parks","https://www.auroragov.org/things_to_do/parks__open_space___trails","official_parks","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Aurora","schools","Profile schools","https://www.aurorak12.org/","official_school_district","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Aurora","public_safety_incidents_or_calls","Profile open data","https://www.auroragov.org/","official_open_data","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Aurora","permits_or_code_enforcement","Profile permits","https://www.auroragov.org/business_services/development_center","official_planning_permits","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Aurora","civic_governance","Profile council","https://www.auroragov.org/city_hall/mayor___city_council","official_city_governance","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Aurora","public_works_or_infrastructure","Profile public works","https://www.auroragov.org/cms/one.aspx?pageId=16224673","official_public_works","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Fort Collins","city_boundary","Profile GIS","https://gisweb.fcgov.com/","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Fort Collins","neighborhoods_or_districts","Profile GIS","https://gisweb.fcgov.com/","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Fort Collins","council_districts","Profile council","https://www.fcgov.com/council/","official_city_governance","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Fort Collins","police_beats_or_reporting_districts","Profile police","https://www.fcgov.com/police/","official_public_safety","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Fort Collins","fire_stations_or_service_areas","Profile fire","https://www.poudre-fire.org/","official_public_safety","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Fort Collins","parcels_or_zoning","Profile permits","https://www.fcgov.com/building/","official_planning_permits","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Fort Collins","streets_or_transport_corridors","Profile public works","https://www.fcgov.com/streets/","official_public_works","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Fort Collins","public_facilities","Profile GIS","https://gisweb.fcgov.com/","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Fort Collins","parks","Profile parks","https://www.fcgov.com/parks/","official_parks","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Fort Collins","schools","Profile schools","https://www.psdschools.org/","official_school_district","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Fort Collins","public_safety_incidents_or_calls","Profile open data","https://www.fcgov.com/opendata/","official_open_data","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Fort Collins","permits_or_code_enforcement","Profile permits","https://www.fcgov.com/building/","official_planning_permits","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Fort Collins","civic_governance","Profile council","https://www.fcgov.com/council/","official_city_governance","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Fort Collins","public_works_or_infrastructure","Profile public works","https://www.fcgov.com/streets/","official_public_works","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Lakewood","city_boundary","Profile GIS","https://www.lakewood.org/Government/Departments/Information-Technology/GIS","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Lakewood","neighborhoods_or_districts","Profile GIS","https://www.lakewood.org/Government/Departments/Information-Technology/GIS","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Lakewood","council_districts","Profile council","https://www.lakewood.org/Government/City-Council","official_city_governance","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Lakewood","police_beats_or_reporting_districts","Profile police","https://www.lakewood.org/Government/Departments/Police","official_public_safety","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Lakewood","fire_stations_or_service_areas","Profile fire","https://www.westmetrofire.org/","official_public_safety","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_202305","Lakewood","parcels_or_zoning","Profile permits","https://www.lakewood.org/Government/Departments/Planning","official_planning_permits","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
