"wave_id","city","parity_layer","source_name","source_url","source_type","city_specific","provenance_status","authentication_status","replay_status","saturation_status","eligible_for_lock","notes"
"20260511_212251","Omaha","city_boundary","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail"
"20260511_212251","Omaha","neighborhoods_or_districts","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail"
"20260511_212251","Omaha","council_districts","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail"
"20260511_212251","Omaha","police_beats_or_reporting_districts","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail"
"20260511_212251","Omaha","fire_stations_or_service_areas","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail"
"20260511_212251","Omaha","parcels_or_zoning","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail"
"20260511_212251","Omaha","streets_or_transport_corridors","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail"
"20260511_212251","Omaha","public_facilities","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail"
"20260511_212251","Omaha","parks","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail"
"20260511_212251","Omaha","schools","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail"
"20260511_212251","Omaha","public_safety_incidents_or_calls","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail"
"20260511_212251","Omaha","permits_or_code_enforcement","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail"
"20260511_212251","Omaha","civic_governance","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail"
"20260511_212251","Omaha","public_works_or_infrastructure","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail"
"20260511_212251","New York","city_boundary","","","","pending","pending","pending","pending","strict_validation_failed","false","Needs verified city-local parity source. | strict_validator_fail"
