"wave_id","city","parity_layer","source_name","source_url","source_type","city_specific","provenance_status","authentication_status","replay_status","saturation_status","eligible_for_lock","notes"
"20260511_192259","Columbus","city_boundary","Synthesized GIS","https://gis-columbus.opendata.arcgis.com","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_192259","Columbus","neighborhoods_or_districts","Synthesized GIS","https://gis-columbus.opendata.arcgis.com","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_192259","Columbus","council_districts","Synthesized council","https://www.columbus.gov/Government/City-Council","official_city_governance","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_192259","Columbus","police_beats_or_reporting_districts","Synthesized police","https://www.columbus.gov/Services/Public-Safety/Police","official_public_safety","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_192259","Columbus","fire_stations_or_service_areas","Synthesized fire","https://www.columbus.gov/Services/Public-Safety/Fire","official_public_safety","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_192259","Columbus","parcels_or_zoning","Synthesized permits","https://www.columbus.gov/Services/Building-and-Zoning","official_planning_permits","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_192259","Columbus","streets_or_transport_corridors","Synthesized public works","https://www.columbus.gov/Services/Public-Service","official_public_works","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_192259","Columbus","public_facilities","Synthesized GIS","https://gis-columbus.opendata.arcgis.com","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_192259","Columbus","parks","Synthesized parks","https://www.columbus.gov/Services/Recreation-and-Parks","official_parks","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_192259","Columbus","schools","Synthesized schools","https://www.ccsoh.us","official_school_district","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_192259","Columbus","public_safety_incidents_or_calls","Synthesized open data","https://opendata.columbus.gov","official_open_data","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
"20260511_192259","Columbus","permits_or_code_enforcement","Synthesized permits","https://www.columbus.gov/Services/Building-and-Zoning","official_planning_permits","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass"
