"wave_id","city","parity_layer","source_name","source_url","source_type","city_specific","provenance_status","authentication_status","replay_status","saturation_status","eligible_for_lock","notes"
"20260511_212238","Long Beach","city_boundary","Profile GIS","https://longbeachca.maps.arcgis.com/","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass | strict_validator_pass | strict_validator_pass"
"20260511_212238","Long Beach","neighborhoods_or_districts","Profile GIS","https://longbeachca.maps.arcgis.com/","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass | strict_validator_pass | strict_validator_pass"
"20260511_212238","Long Beach","council_districts","Profile council","https://www.longbeach.gov/citycouncil/","official_city_governance","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass | strict_validator_pass | strict_validator_pass"
"20260511_212238","Long Beach","police_beats_or_reporting_districts","Profile police","https://www.longbeach.gov/police/","official_public_safety","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass | strict_validator_pass | strict_validator_pass"
"20260511_212238","Long Beach","fire_stations_or_service_areas","Profile fire","https://www.longbeach.gov/fire/","official_public_safety","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass | strict_validator_pass | strict_validator_pass"
"20260511_212238","Long Beach","parcels_or_zoning","Profile permits","https://www.longbeach.gov/lbcd/","official_planning_permits","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass | strict_validator_pass | strict_validator_pass"
"20260511_212238","Long Beach","streets_or_transport_corridors","Profile public works","https://www.longbeach.gov/pw/","official_public_works","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass | strict_validator_pass | strict_validator_pass"
"20260511_212238","Long Beach","public_facilities","Profile GIS","https://longbeachca.maps.arcgis.com/","official_gis_portal","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass | strict_validator_pass | strict_validator_pass"
"20260511_212238","Long Beach","parks","Profile parks","https://www.longbeach.gov/park/","official_parks","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass | strict_validator_pass | strict_validator_pass"
"20260511_212238","Long Beach","schools","Profile schools","https://www.lbschools.net/","official_school_district","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass | strict_validator_pass | strict_validator_pass"
"20260511_212238","Long Beach","public_safety_incidents_or_calls","Profile open data","https://data.longbeach.gov/","official_open_data","pass","verified_candidate","authenticated","pass","verified_layer","true","Verified city-specific parity layer; replay-safe. | strict_validator_pass | strict_validator_pass | strict_validator_pass | strict_validator_pass"
