entity_id,organization_name,organization_type,city,region,authentication_status,source_discovery_status,public_source_present,reviewer_decision,contact_ready,outreach_allowed,official_source_query,official_contact_query
"BD_BOOK_OP_00001","Texas Confederation of Clubs and Independents","CONFEDERATION_COUNCIL","","Texas","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","Texas Confederation of Clubs and Independents Texas official website","Texas Confederation of Clubs and Independents Texas contact official"
"BD_BOOK_OP_00002","Bikers for Christ","MOTORCYCLE_MINISTRY","","CA","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","Bikers for Christ CA official website","Bikers for Christ CA contact official"
"BD_BOOK_OP_00003","Christian Motorcyclists Association","MOTORCYCLE_MINISTRY","","AR","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","Christian Motorcyclists Association AR official website","Christian Motorcyclists Association AR contact official"
"BD_BOOK_OP_00004","Widow Sons Masonic Riders Association","SPECIALTY_MOTORCYCLE_GROUP","","National","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","Widow Sons Masonic Riders Association National official website","Widow Sons Masonic Riders Association National contact official"
"BD_BOOK_OP_00005","BACA International","CHARITY_MOTORCYCLE_ORGANIZATION","","Utah","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","BACA International Utah official website","BACA International Utah contact official"
"BD_BOOK_OP_00006","American Motorcyclist Association","MOTORCYCLE_RIGHTS_ORGANIZATION","","Ohio","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","American Motorcyclist Association Ohio official website","American Motorcyclist Association Ohio contact official"
"BD_BOOK_OP_00007","ABATE of Indiana","MOTORCYCLE_RIGHTS_ORGANIZATION","","IN","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","ABATE of Indiana IN official website","ABATE of Indiana IN contact official"
"BD_BOOK_OP_00008","Iron Order Motorcycle Club","MOTORCYCLE_CLUB","","National","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","Iron Order Motorcycle Club National official website","Iron Order Motorcycle Club National contact official"
"BD_BOOK_OP_00009","Combat Veterans Motorcycle Association","VETERANS_MOTORCYCLE_CLUB","","National","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","Combat Veterans Motorcycle Association National official website","Combat Veterans Motorcycle Association National contact official"
"BD_BOOK_OP_00010","Nam Knights Motorcycle Club","VETERANS_MOTORCYCLE_CLUB","","National","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","Nam Knights Motorcycle Club National official website","Nam Knights Motorcycle Club National contact official"
"BD_BOOK_OP_00011","ABATE of Florida","MOTORCYCLE_RIGHTS_ORGANIZATION","","FL","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","ABATE of Florida FL official website","ABATE of Florida FL contact official"
"BD_BOOK_OP_00012","ABATE of Iowa","MOTORCYCLE_RIGHTS_ORGANIZATION","","IA","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","ABATE of Iowa IA official website","ABATE of Iowa IA contact official"
"BD_BOOK_OP_00013","Bikers Against Child Abuse Arizona","CHARITY_MOTORCYCLE_ORGANIZATION","","AZ","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","Bikers Against Child Abuse Arizona AZ official website","Bikers Against Child Abuse Arizona AZ contact official"
"BD_BOOK_OP_00014","Christian Motorcyclists Association Oklahoma","MOTORCYCLE_MINISTRY","","Oklahoma","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","Christian Motorcyclists Association Oklahoma Oklahoma official website","Christian Motorcyclists Association Oklahoma Oklahoma contact official"
"BD_BOOK_OP_00015","Vietnam Vets Legacy Vets MC","VETERANS_MOTORCYCLE_CLUB","","National","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","Vietnam Vets Legacy Vets MC National official website","Vietnam Vets Legacy Vets MC National contact official"
"BD_BOOK_OP_00016","Blue Knights International","LAW_ENFORCEMENT_MOTORCYCLE_ORGANIZATION","","National","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","Blue Knights International National official website","Blue Knights International National contact official"
"BD_BOOK_OP_00017","Law Tigers","MOTORCYCLE_LEGAL_NETWORK","","National","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","Law Tigers National official website","Law Tigers National contact official"
"BD_BOOK_OP_00018","National Coalition of Motorcyclists","MOTORCYCLE_ADVOCACY_COALITION","","National","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","National Coalition of Motorcyclists National official website","National Coalition of Motorcyclists National contact official"
"BD_BOOK_OP_00019","Buffalo Soldiers Motorcycle Club","MOTORCYCLE_CLUB","","National","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","Buffalo Soldiers Motorcycle Club National official website","Buffalo Soldiers Motorcycle Club National contact official"
"BD_BOOK_OP_00020","US Military Vets MC","VETERANS_MOTORCYCLE_CLUB","","National","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","US Military Vets MC National official website","US Military Vets MC National contact official"
"BD_BOOK_EXP_00001","Eugene Police Department","MOTORCYCLE_ORGANIZATION","","OR","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","Eugene Police Department OR official website","Eugene Police Department OR contact official"
"BD_BOOK_EXP_00002","Lane County Sheriff's Office","MOTORCYCLE_ORGANIZATION","","OR","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","Lane County Sheriff's Office OR official website","Lane County Sheriff's Office OR contact official"
"BD_BOOK_EXP_00003","Portland Police Bureau","MOTORCYCLE_ORGANIZATION","","OR","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","Portland Police Bureau OR official website","Portland Police Bureau OR contact official"
"BD_BOOK_EXP_00004","Multnomah County Sheriff's Office","MOTORCYCLE_ORGANIZATION","","OR","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","Multnomah County Sheriff's Office OR official website","Multnomah County Sheriff's Office OR contact official"
"BD_BOOK_EXP_00005","Seattle Police Department","MOTORCYCLE_ORGANIZATION","","WA","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","Seattle Police Department WA official website","Seattle Police Department WA contact official"
"BD_BOOK_EXP_00006","King County Sheriff's Office","MOTORCYCLE_ORGANIZATION","","WA","PUBLIC_SOURCE_FOUND","SOURCE_PRESENT_REQUIRES_VALIDATION","true","PENDING","false","false","King County Sheriff's Office WA official website","King County Sheriff's Office WA contact official"
